Mesh file:                ../grids/naca0004_129x129.plot3d
Chord / L:                10.0
Mach number:              0.5
Axis location / L:        0.0

Pseudo-transient continuation:
    it             residual         rel residual
     0    6.78607113782e+01    1.00000000000e+00
     1    4.57655891946e+01    6.74404795722e-01
     2    1.08071024622e+01    1.59254187625e-01
     3    1.11987698282e+01    1.65025824232e-01
     4    2.42811264154e+00    3.57808309437e-02
     5    3.25069481764e-01    4.79024571305e-03
     6    3.55766635468e-02    5.24260103147e-04
     7    2.93314569392e-03    4.32230319186e-05
     8    1.88320648104e-05    2.77510571698e-07
     9    1.18095131827e-08    1.74025779319e-10
    10    1.04997244199e-13    1.54724644152e-15

Frequency response:
  red frequency                         lift coefficient                       moment coefficient
1.000000000e-02    +7.38612544941e+00-3.48228318660e-01j    -1.87375657565e+00+6.89206411027e-02j
1.584893192e-02    +7.29322091995e+00-4.59010388937e-01j    -1.85023071028e+00+8.56713053340e-02j
2.511886432e-02    +7.09147731877e+00-5.66139748294e-01j    -1.79898856579e+00+9.51213673122e-02j
3.981071706e-02    +6.83887783062e+00-6.97563646356e-01j    -1.73488210267e+00+1.00349090486e-01j
6.309573445e-02    +6.44483012661e+00-6.57036829999e-01j    -1.63333484782e+00+4.63773954536e-02j
1.000000000e-01    +6.01195676185e+00-4.85948594889e-01j    -1.51921418744e+00-6.68071946659e-02j
1.584893192e-01    +5.50472707087e+00-5.03827447664e-02j    -1.37900885054e+00-2.86890993286e-01j
2.511886432e-01    +5.03234084936e+00+7.88342964546e-01j    -1.22596089979e+00-6.75530662259e-01j
3.981071706e-01    +4.61627498280e+00+2.12679581479e+00j    -1.03473133115e+00-1.30520199736e+00j
6.309573445e-01    +4.21072474623e+00+4.22413563255e+00j    -7.21584129509e-01-2.34478782438e+00j
1.000000000e+00    +3.82552802629e+00+7.73703877854e+00j    -1.57083410104e-01-4.23311627196e+00j
