red_freq,cl_real,cl_imag,cm_rea,cm_imag
0.000,+7.2552,+0.0000,-1.8138,+0.0000
0.025,+6.8258,-0.4890,-1.7070,+0.0700
0.050,+6.4372,-0.5698,-1.6098,+0.0392
0.075,+6.1144,-0.5018,-1.5282,-0.0280
0.100,+5.8502,-0.3594,-1.4600,-0.1132
0.125,+5.6418,-0.1668,-1.4044,-0.2104
0.150,+5.4616,+0.0358,-1.3544,-0.3102
0.175,+5.3068,+0.2470,-1.3094,-0.4124
0.200,+5.1746,+0.4654,-1.2686,-0.5166
0.250,+4.9654,+0.9174,-1.1968,-0.7296
0.300,+4.8104,+1.3796,-1.1336,-0.9462
0.350,+4.6784,+1.8334,-1.0716,-1.1620
0.400,+4.5682,+2.2864,-1.0102,-1.3800
0.450,+4.4708,+2.7402,-0.9472,-1.6012
0.500,+4.3776,+3.1958,-0.8802,-1.8270
0.600,+4.2134,+4.1060,-0.7408,-2.2860
0.700,+4.0734,+5.0302,-0.5956,-2.7648
