x,y,cp
+9.99523e-01,-6.78937e-05,+4.69535e-01
+9.97733e-01,-3.21628e-04,+3.76708e-01
+9.94333e-01,-8.01344e-04,+3.22414e-01
+9.89426e-01,-1.48970e-03,+2.73112e-01
+9.83084e-01,-2.37380e-03,+2.37500e-01
+9.75365e-01,-3.44077e-03,+2.03496e-01
+9.66326e-01,-4.67674e-03,+1.76351e-01
+9.56024e-01,-6.06930e-03,+1.49750e-01
+9.44513e-01,-7.60509e-03,+1.27095e-01
+9.31849e-01,-9.27022e-03,+1.04869e-01
+9.18088e-01,-1.10508e-02,+8.53185e-02
+9.03290e-01,-1.29335e-02,+6.61992e-02
+8.87512e-01,-1.49059e-02,+4.87171e-02
+8.70811e-01,-1.69541e-02,+3.15770e-02
+8.53248e-01,-1.90648e-02,+1.58956e-02
+8.34883e-01,-2.12260e-02,+3.58261e-04
+8.15775e-01,-2.34258e-02,-1.41885e-02
+7.95983e-01,-2.56524e-02,-2.86454e-02
+7.75567e-01,-2.78939e-02,-4.23793e-02
+7.54586e-01,-3.01389e-02,-5.59275e-02
+7.33098e-01,-3.23769e-02,-6.91855e-02
+7.11162e-01,-3.45966e-02,-8.22533e-02
+6.88835e-01,-3.67875e-02,-9.51030e-02
+6.66172e-01,-3.89393e-02,-1.08017e-01
+6.43227e-01,-4.10410e-02,-1.20678e-01
+6.20057e-01,-4.30823e-02,-1.33513e-01
+5.96712e-01,-4.50522e-02,-1.46126e-01
+5.73245e-01,-4.69403e-02,-1.58899e-01
+5.49705e-01,-4.87358e-02,-1.71520e-01
+5.26143e-01,-5.04282e-02,-1.84125e-01
+5.02605e-01,-5.20076e-02,-1.96832e-01
+4.79139e-01,-5.34626e-02,-2.09327e-01
+4.55790e-01,-5.47828e-02,-2.21667e-01
+4.32603e-01,-5.59588e-02,-2.33851e-01
+4.09621e-01,-5.69807e-02,-2.45834e-01
+3.86886e-01,-5.78385e-02,-2.57369e-01
+3.64440e-01,-5.85234e-02,-2.68485e-01
+3.42324e-01,-5.90269e-02,-2.79013e-01
+3.20577e-01,-5.93411e-02,-2.88761e-01
+2.99238e-01,-5.94595e-02,-2.97705e-01
+2.78346e-01,-5.93763e-02,-3.05692e-01
+2.57939e-01,-5.90859e-02,-3.12450e-01
+2.38052e-01,-5.85843e-02,-3.17834e-01
+2.18723e-01,-5.78687e-02,-3.21728e-01
+1.99987e-01,-5.69366e-02,-3.23630e-01
+1.81879e-01,-5.57873e-02,-3.23462e-01
+1.64434e-01,-5.44220e-02,-3.20921e-01
+1.47685e-01,-5.28416e-02,-3.15676e-01
+1.31665e-01,-5.10486e-02,-3.06883e-01
+1.16408e-01,-4.90475e-02,-2.94814e-01
+1.01945e-01,-4.68422e-02,-2.77913e-01
+8.83069e-02,-4.44377e-02,-2.55971e-01
+7.55261e-02,-4.18404e-02,-2.27036e-01
+6.36318e-02,-3.90572e-02,-1.90765e-01
+5.26538e-02,-3.60937e-02,-1.43518e-01
+4.26219e-02,-3.29562e-02,-8.33031e-02
+3.35653e-02,-2.96512e-02,-5.37916e-03
+2.55132e-02,-2.61827e-02,+9.53418e-02
+1.84968e-02,-2.25541e-02,+2.25559e-01
+1.25494e-02,-1.87669e-02,+3.89609e-01
+7.70866e-03,-1.48211e-02,+5.83683e-01
+4.02258e-03,-1.07218e-02,+7.84170e-01
+1.54371e-03,-6.48955e-03,+9.30601e-01
+3.06265e-04,-2.17210e-03,+9.47695e-01
+3.06265e-04,+2.17210e-03,+7.96260e-01
+1.54371e-03,+6.48955e-03,+4.99203e-01
+4.02258e-03,+1.07218e-02,+1.57333e-01
+7.70866e-03,+1.48211e-02,-1.47402e-01
+1.25494e-02,+1.87669e-02,-3.69843e-01
+1.84968e-02,+2.25541e-02,-5.19175e-01
